shipment_id,origin_street_address,origin_city,origin_state,origin_postal_code,origin_country,destination_street_address,destination_city,destination_state,destination_postal_code,destination_country,scheduled_pickup_date,actual_pickup_date,expected_delivery_date,actual_delivery_date,is_delayed,delay_duration_days,delay_causes,primary_delay_cause,carrier_name,shipment_weight_kg,shipment_volume_m3,shipment_type,route_id,vehicle_type
SHP00016,2300 Avenida Paulista,Sao Paulo,SP,01310-300,Brazil,450 Calle 50,Panama City,Panama,0801,Panama,2023-09-05,2023-09-06,2023-09-14,2023-09-18,true,4,"customs,staffing",customs,LatinGlobal Logistics,4900,18.4,container,LAT45,ship
SHP00017,78 Rue Sainte-Catherine,Montreal,QC,H2X1Z6,Canada,99 Bloor St West,Toronto,ON,M4W1A9,Canada,2023-10-12,2023-10-12,2023-10-14,2023-10-14,false,0,,,GreatNorth Freight,104.7,0.95,pallet,CA089,truck
SHP00018,"16-1 Chome, Marunouchi",Tokyo,Tokyo,100-0005,Japan,88 Orchard Rd,Singapore,Central,238841,Singapore,2023-11-01,2023-11-02,2023-11-09,2023-11-15,true,6,"customs,weather",customs,AsiaPacific Shipping,7100.2,24.6,container,JPSEA1,ship
SHP00019,1 Nelson Mandela Blvd,Cape Town,Western Cape,8001,South Africa,12 Adderley St,Cape Town,Western Cape,8000,South Africa,2023-12-05,2023-12-05,2023-12-07,2023-12-08,true,1,staffing,staffing,Frontier Logistics,82.3,0.67,other,SA011,other
SHP00020,17 Sheikh Zayed Rd,Dubai,Dubai,00000,UAE,100 King Fahd Rd,Riyadh,Riyadh,11411,Saudi Arabia,2024-01-10,2024-01-11,2024-01-16,2024-01-18,true,2,"customs,weather",weather,Desert Cross Trans,2100,9.4,container,ME097,rail
SHP00021,45 Queen Victoria St,London,Greater London,EC4N 4SA,UK,1 Albert Square,Manchester,Greater Manchester,M2 5DB,UK,2023-07-15,2023-07-16,2023-07-18,2023-07-18,false,0,,,BritExpress,58.6,0.34,pallet,UK046,truck
SHP00022,44 Main St,Boston,MA,02108,USA,155 Congress Ave,Hartford,CT,06106,USA,2024-02-05,2024-02-05,2024-02-07,2024-02-08,true,1,traffic,traffic,Northeast Logistics,22.5,0.16,parcel,RT202,van
SHP00023,12 Rue Saint-Denis,Paris,Île-de-France,75004,France,150 Calle Mayor,Madrid,Madrid,28013,Spain,2023-06-18,2023-06-19,2023-06-23,2023-06-23,false,0,,,EuroWay Freight,0.01,0.0004,document,EU155,air
SHP00024,8800 Wilshire Blvd,Los Angeles,CA,90048,USA,2110 Market St,San Diego,CA,92101,USA,2024-03-12,2024-03-12,2024-03-13,,false,0,,,Pacific Haulage,14.3,0.1,parcel,RT245,truck
SHP00025,3000 Yonge St,Toronto,ON,M4N2K6,Canada,80 Granville St,Vancouver,BC,V6C1T2,Canada,2024-03-20,,2024-03-25,,false,0,,,MapleLeaf Transport,130.4,1.09,pallet,CA112,rail
SHP00026,77 Queen St,Auckland,Auckland,1010,New Zealand,123 George St,Sydney,NSW,2000,Australia,2023-08-18,2023-08-18,2023-08-22,2023-08-25,true,3,"weather,customs",weather,TransTasman Logistics,3100,10.8,container,AUNZ8,ship
SHP00027,50 Avenida Corrientes,Buenos Aires,Buenos Aires,C1043,Argentina,77 Calle Oruro,La Paz,La Paz,1000,Bolivia,2024-04-10,2024-04-11,2024-04-17,2024-04-20,true,3,"weather,staffing",staffing,Andes Mountain Cargo,82.6,0.82,other,AND34,other
SHP00028,1200 13th Ave,Seattle,WA,98122,USA,500 Main St,Portland,OR,97204,USA,2024-05-01,,2024-05-03,,false,0,,,Evergreen Express,15.9,0.12,parcel,RT318,truck
SHP00029,109 Charoen Krung Rd,Bangkok,Bangkok,10500,Thailand,300 Jalan Bukit Bintang,Kuala Lumpur,WP Kuala Lumpur,55100,Malaysia,2024-05-17,,2024-05-23,,false,0,,,Straits Freight,96.4,0.74,pallet,SEA07,rail
SHP00030,7000 S Dixie Hwy,Miami,FL,33143,USA,99 Brickell Ave,Miami,FL,33131,USA,2024-06-04,,2024-06-05,,false,0,,,Sunshine State Haul,0.01,0.0002,document,RT102,van
SHP00031,7110 S University Blvd,Littleton,CO,80122,USA,1200 Broadway,Denver,CO,80203,USA,2024-06-21,,2024-06-23,,false,0,,,Summit Express,23.7,0.19,parcel,RT275,truck
SHP00032,2200 Broadway,Oakland,CA,94612,USA,5400 Shattuck Ave,Berkeley,CA,94705,USA,2024-07-08,,2024-07-11,,false,0,,,Pacific Haulage,17.5,0.13,parcel,RT199,truck
SHP00033,3500 Old Hwy 99 S,Eugene,OR,97405,USA,1900 NE 42nd Ave,Portland,OR,97213,USA,2024-07-16,,2024-07-17,,false,0,,,Evergreen Express,11.4,0.09,parcel,RT320,van
SHP00034,14 Antarctic Base,McMurdo,Antarctica,00001,Antarctica,5 South Pole Station,Amundsen-Scott,Antarctica,00002,Antarctica,2023-12-01,2023-12-02,2023-12-08,2023-12-19,true,11,"weather,staffing",weather,Polar Logistics,13.7,0.16,other,ANT07,other
SHP00035,1111 E Camelback Rd,Phoenix,AZ,85014,USA,500 S Mill Ave,Tempe,AZ,85281,USA,2024-08-03,,2024-08-04,,false,0,,,RapidHaul USA,28.3,0.22,parcel,RT223,truck
SHP00036,5000 N Lake Shore Dr,Chicago,IL,60611,USA,2400 W Devon Ave,Chicago,IL,60659,USA,2023-07-23,2023-07-23,2023-07-24,2023-07-25,true,1,traffic,traffic,Metro Delivery,0.03,0.0008,document,RT331,van
SHP00037,5500 Sherbrooke St,Montreal,QC,H3Z2A5,Canada,1000 Georgia St,Vancouver,BC,V6E2Y2,Canada,2024-09-09,,2024-09-14,,false,0,,,GreatNorth Freight,113.5,0.88,pallet,CA134,rail
SHP00038,77 Rue Principale,Geneva,Geneva,1201,Switzerland,12 Bahnhofstrasse,Zurich,Zurich,8001,Switzerland,2023-09-21,2023-09-22,2023-09-25,2023-09-25,false,0,,,Alpine Carriers,0.01,0.0002,document,CH021,van
SHP00039,500 Canal St,New Orleans,LA,70130,USA,2500 Royal St,New Orleans,LA,70117,USA,2024-10-03,,2024-10-04,,false,0,,,Delta Express,0.01,0.0007,document,RT401,van
SHP00040,4000 Ocean Blvd,Long Beach,CA,90803,USA,1900 W 44th St,Los Angeles,CA,90037,USA,2024-10-23,,2024-10-25,,false,0,,,Pacific Haulage,34.1,0.25,parcel,RT321,truck
SHP00041,12 Avenida Javier Prado,Lima,Lima Province,15036,Peru,14 Calle Sucre,Quito,Pichincha,170143,Ecuador,2023-10-09,2023-10-10,2023-10-18,2023-10-25,true,7,"weather,customs",weather,Andes Mountain Cargo,84.2,0.69,other,AND11,other
SHP00042,740 Rue Saint-Paul,Montreal,QC,H2Y2H8,Canada,1234 Jasper Ave,Edmonton,AB,T5J1S2,Canada,2024-11-15,,2024-11-20,,false,0,,,GreatNorth Freight,127.8,1.02,pallet,CA211,rail
SHP00043,90 Via Roma,Rome,Lazio,00184,Italy,200 Via Garibaldi,Naples,Campania,80139,Italy,2023-06-08,2023-06-08,2023-06-10,2023-06-11,true,1,"traffic,staffing",traffic,Europa Logistics,109.6,0.97,pallet,IT099,truck
SHP00044,2000 Alaskan Way,Seattle,WA,98101,USA,1500 1st Ave,Seattle,WA,98101,USA,2023-05-19,2023-05-19,2023-05-20,2023-05-20,false,0,,,Evergreen Express,16.9,0.11,parcel,RT209,truck
SHP00045,1000 Avenida Atlantica,Rio de Janeiro,RJ,22021-001,Brazil,2000 Calle 50,Panama City,Panama,0801,Panama,2023-11-05,2023-11-06,2023-11-13,2023-11-15,true,2,"customs,staffing",customs,LatinGlobal Logistics,3250,13.9,container,LAT59,ship
SHP00046,5000 W 120th Ave,Westminster,CO,80020,USA,7000 W 38th Ave,Wheat Ridge,CO,80033,USA,2024-09-02,,2024-09-03,,false,0,,,Summit Express,16.2,0.11,parcel,RT402,truck
SHP00047,1500 E 2nd St,Austin,TX,78702,USA,100 Congress Ave,Austin,TX,78701,USA,2024-11-12,,2024-11-12,,false,0,,,RapidHaul USA,0.02,0.0006,document,RT224,van
SHP00048,3100 Wilshire Blvd,Los Angeles,CA,90010,USA,400 Market St,San Diego,CA,92101,USA,2023-05-18,2023-05-18,2023-05-19,2023-05-20,true,1,traffic,traffic,Pacific Haulage,19.6,0.15,parcel,RT217,truck
SHP00049,80 King St,Sydney,NSW,2000,Australia,100 Queen St,Melbourne,VIC,3000,Australia,2024-12-07,,2024-12-10,,false,0,,,DownUnder Logistics,67.2,0.56,pallet,AU403,van
SHP00050,1600 Pennsylvania Ave,Washington,DC,20500,USA,700 Independence Ave,Washington,DC,20597,USA,2023-11-14,2023-11-14,2023-11-14,2023-11-14,false,0,,,Summit Express,0.01,0.0002,document,RT001,van
SHP10051,843 Willow Ave,Houston,TX,77002,USA,920 Oakridge Blvd,Dallas,TX,75201,USA,2023-09-14,2023-09-14,2023-09-15,2023-09-15,false,0,,,Lone Star Logistics,18.6,0.19,parcel,RT321,truck
SHP10052,1151 King St,Toronto,ON,M5V2M9,Canada,2422 Jasper Ave,Edmonton,AB,T5J1S7,Canada,2023-08-18,2023-08-18,2023-08-20,2023-08-22,true,2,"weather,traffic",weather,MapleFreight,94.8,0.26,parcel,CA104,truck
SHP10053,77 Abbey Rd,London,England,NW87BD,UK,215 Via Roma,Milan,Lombardy,20121,Italy,2023-10-10,2023-10-11,2023-10-19,2023-10-25,true,6,"customs,staffing,weather",customs,EuroWay Transport,12000,52.5,container,EU4901,rail
SHP10054,300 Charles St,Boston,MA,02114,USA,601 Market St,Philadelphia,PA,19106,USA,2023-11-01,2023-11-01,2023-11-02,2023-11-02,false,0,,,East Coast Express,8.9,0.05,parcel,RT589,van
SHP10055,19 Circular Quay,Sydney,NSW,2000,Australia,77 Queen St,Auckland,Auckland,1010,New Zealand,2023-12-15,2023-12-16,2023-12-26,2023-12-28,true,2,"weather,staffing",weather,DownUnder Logistics,450,1.5,pallet,AUNZ2,ship
SHP10056,44 Rue Cler,Paris,Île-de-France,75007,France,101 Bahnhofstrasse,Zurich,ZH,8001,Switzerland,2023-07-13,2023-07-13,2023-07-20,2023-07-20,false,0,,,AlpineCargo,320.5,1.1,pallet,EU442,rail
SHP10057,12 Market Ln,Chicago,IL,60606,USA,900 Peachtree St,Atlanta,GA,30309,USA,2023-08-23,2023-08-23,2023-08-24,2023-08-24,false,0,,,Midwest Parcel,16.1,0.12,parcel,RT487,truck
SHP10058,17 Argyle St,Glasgow,Scotland,G28DL,UK,33 O'Connell St,Dublin,Leinster,D02X285,Ireland,2023-09-18,2023-09-18,2023-09-21,2023-09-23,true,2,"staffing,weather",staffing,Celtic Freight,1120,8.4,container,UKIR5,ship
SHP10059,18 Yonge St,Toronto,ON,M5E1Z8,Canada,150 Burrard St,Vancouver,BC,V6C3A6,Canada,2023-11-10,2023-11-11,2023-11-18,2023-11-18,false,0,,,WestCoast Logistics,79.4,0.27,parcel,CA311,truck
SHP10060,212 Avenida Brasil,Rio de Janeiro,RJ,20040002,Brazil,99 Calle Florida,Buenos Aires,Buenos Aires,C1005AAG,Argentina,2023-10-05,2023-10-06,2023-10-11,2023-10-15,true,4,"customs,traffic,staffing",customs,Andes Cargo,7120,44.5,container,SAM678,ship
SHP10061,65 Nanjing Rd,Shanghai,Shanghai,200001,China,88 Raffles Blvd,Singapore,Central,039803,Singapore,2023-07-01,2023-07-01,2023-07-08,2023-07-09,true,1,"customs,weather",customs,AsiaStar Shipping,9630,38.1,container,AS345,ship
SHP10062,2301 Franklin Ave,Los Angeles,CA,90028,USA,129 Fremont St,San Francisco,CA,94105,USA,2023-09-20,2023-09-20,2023-09-21,2023-09-21,false,0,,,Golden Gate Freight,23,0.11,parcel,RT199,truck
SHP10063,17 Rue de Lausanne,Geneva,GE,1201,Switzerland,45 Rue des Carmes,Lyon,Auvergne-Rhône-Alpes,69007,France,2023-12-03,2023-12-03,2023-12-05,2023-12-08,true,3,"weather,traffic",weather,AlpineCargo,260,0.98,pallet,EU412,rail
SHP10064,404 Main Rd,Cape Town,Western Cape,8001,South Africa,12 Nelson Mandela Dr,Johannesburg,Gauteng,2001,South Africa,2023-07-20,2023-07-20,2023-07-23,2023-07-23,false,0,,,Rainbow Transport,202,1.1,pallet,SAF22,truck
SHP10065,2 Sheikh Zayed Rd,Dubai,Dubai,00000,UAE,14 Al Maktoum St,Abu Dhabi,Abu Dhabi,00000,UAE,2023-12-20,2023-12-21,2023-12-24,2023-12-26,true,2,"staffing,traffic",staffing,Emirates Freightways,130,0.71,pallet,UAE09,van
SHP10066,1117 Collins Ave,Miami,FL,33139,USA,700 Brickell Ave,Miami,FL,33131,USA,2023-08-14,2023-08-15,2023-08-15,2023-08-15,false,0,,,Sunshine Couriers,2.2,0.03,parcel,RT205,van
SHP10067,22 Orchard Rd,Singapore,Central,238885,Singapore,9 Silom Rd,Bangkok,Bangkok,10500,Thailand,2023-09-02,2023-09-02,2023-09-06,2023-09-09,true,3,"weather,traffic",weather,ASEAN Express,380,1.7,pallet,SEA83,rail
SHP10068,19 Bligh St,Sydney,NSW,2000,Australia,123 Queen St,Melbourne,VIC,3000,Australia,2023-10-10,2023-10-10,2023-10-11,2023-10-11,false,0,,,AussieMetro,0.04,0.0006,document,AUS51,van
SHP10069,125 Antarctic Dr,South Pole,Antarctica,10001,Antarctica,1 Research Blvd,McMurdo,Ross Island,20001,Antarctica,2023-11-25,2023-11-27,2023-12-03,2023-12-18,true,15,"weather,staffing,vehicle breakdown",weather,Polar Logistics,21.7,0.21,other,ANT05,other
SHP10070,301 Main St,Denver,CO,80202,USA,400 17th St,Denver,CO,80202,USA,2023-09-11,2023-09-12,2023-09-12,2023-09-12,false,0,,,Rocky Mountain Freight,7.9,0.08,parcel,RT228,truck
SHP10071,78 Calle 50,Panama City,Panamá,0801,Panama,55 Calle Comercio,Cartagena,Bolívar,130001,Colombia,2023-08-12,2023-08-13,2023-08-19,2023-08-20,true,1,"customs,weather",customs,Canal & Andes Freight,7200,32.3,container,CANAL2,ship
SHP10072,401 Orchard Rd,Singapore,Central,238879,Singapore,17 Jalan Tun Razak,Kuala Lumpur,WP Kuala Lumpur,50400,Malaysia,2023-08-08,2023-08-08,2023-08-10,2023-08-10,false,0,,,Straits Logistics,0.02,0.0005,document,SEA21,air
SHP10073,1000 Main St,New York,NY,10001,USA,1115 Walnut Ave,Baltimore,MD,21201,USA,2023-09-09,2023-09-09,2023-09-10,2023-09-10,false,0,,,Metro Express,3.1,0.04,parcel,RT111,van
SHP10074,19 Avenida Libertador,Lima,Lima,15001,Peru,12 Calle Bolívar,La Paz,La Paz,0101,Bolivia,2023-11-03,2023-11-04,2023-11-12,2023-11-17,true,5,"weather,staffing,traffic",weather,AndesConnect,85.3,0.76,other,SAM401,other
SHP10075,230 Rue Sainte-Catherine,Montreal,QC,H2X1L2,Canada,550 Granville St,Vancouver,BC,V6C1X6,Canada,2023-09-17,2023-09-17,2023-09-21,2023-09-21,false,0,,,MapleFreight,51,0.3,parcel,CA217,truck
SHP10076,123 Victoria St,London,England,SW1E5NE,UK,20 Boulevard Haussmann,Paris,Île-de-France,75009,France,2023-08-19,2023-08-19,2023-08-22,2023-08-22,false,0,,,EuroWay Transport,0.03,0.0001,document,EU101,air
SHP10077,1 Raffles Place,Singapore,Central,048616,Singapore,88 Jalan Sudirman,Jakarta,DKI Jakarta,10220,Indonesia,2023-12-10,2023-12-11,2023-12-13,2023-12-17,true,4,"weather,customs",weather,ASEAN Express,430,1.9,pallet,SEA97,rail
SHP10078,1200 Peachtree St,Atlanta,GA,30309,USA,700 Broadway,Nashville,TN,37203,USA,2023-10-03,2023-10-03,2023-10-04,2023-10-04,false,0,,,Southeast Logistics,20.8,0.15,parcel,RT392,truck
SHP10079,74 Market St,San Francisco,CA,94103,USA,8 Broadway,Oakland,CA,94607,USA,2023-08-27,2023-08-28,2023-08-28,2023-08-28,false,0,,,Bay Area Couriers,5.4,0.04,parcel,RT113,truck
SHP10080,23 Avenida Paulista,Sao Paulo,SP,01310-100,Brazil,100 Calle Prado,Havana,La Habana,10100,Cuba,2023-09-17,2023-09-18,2023-09-24,2023-09-28,true,4,"customs,weather",customs,Caribbean Freight,5920,30.6,container,SAM991,ship
SHP10081,55 Canal St,New Orleans,LA,70130,USA,408 Royal St,New Orleans,LA,70130,USA,2023-12-21,,2023-12-22,,false,0,,,NOLA Delivery,1.7,0.02,parcel,RT982,van
SHP10082,99 Ramblas,Barcelona,Catalonia,08002,Spain,44 Via del Corso,Rome,Lazio,00186,Italy,2023-07-30,2023-07-30,2023-08-03,2023-08-04,true,1,"traffic,staffing",traffic,Iberia Freight,210,1.2,pallet,EU321,rail
SHP10083,478 Main St,Manchester,England,M130PX,UK,17 St Stephen's Grn,Dublin,Leinster,D02H364,Ireland,2023-11-05,2023-11-06,2023-11-10,2023-11-10,false,0,,,Celtic Freight,0.01,0.0002,document,UKIR2,air
SHP10084,333 Main St,Phoenix,AZ,85004,USA,789 1st Ave,Tucson,AZ,85701,USA,2023-08-09,2023-08-09,2023-08-10,2023-08-10,false,0,,,Desert FastMove,11,0.11,parcel,RT866,truck
SHP10085,45 Sheikh Khalifa Hwy,Abu Dhabi,Abu Dhabi,00000,UAE,12 Corniche Rd,Dubai,Dubai,00000,UAE,2023-08-15,2023-08-16,2023-08-20,2023-08-24,true,4,"traffic,weather",weather,Emirates Freightways,165,0.92,pallet,UAE38,van
SHP10086,202 Bahnhofstrasse,Zurich,ZH,8001,Switzerland,80 Via Montenapoleone,Milan,Lombardy,20121,Italy,2023-07-18,2023-07-18,2023-07-23,2023-07-23,false,0,,,AlpineCargo,275,1.15,pallet,EU220,rail
SHP10087,50 Sihlquai,Zurich,ZH,8005,Switzerland,81 Rue de Lyon,Geneva,GE,1203,Switzerland,2023-10-12,2023-10-13,2023-10-14,2023-10-14,false,0,,,Helvetia Delivery,0.01,0.0001,document,CH340,van
SHP10088,13 Main St,Cape Town,Western Cape,8001,South Africa,22 Mandela Ave,Pretoria,Gauteng,0002,South Africa,2023-09-18,2023-09-19,2023-09-21,2023-09-21,false,0,,,Rainbow Transport,154,0.95,pallet,SAF71,truck
SHP10089,99 Shenton Way,Singapore,Central,079903,Singapore,22 King St,Bangkok,Bangkok,10500,Thailand,2023-08-25,2023-08-25,2023-08-29,2023-09-02,true,4,"weather,traffic",traffic,ASEAN Express,255,0.87,pallet,SEA74,rail
SHP10090,100 King William St,Adelaide,SA,5000,Australia,12 Collins St,Melbourne,VIC,3000,Australia,2023-10-30,,2023-11-01,,false,0,,,AussieMetro,0.03,0.0009,document,AUS11,air
SHP10091,99 Avenida Brasil,Rio de Janeiro,RJ,20040002,Brazil,200 Calle Libertador,Lima,Lima,15001,Peru,2023-07-13,2023-07-14,2023-07-21,2023-07-26,true,5,"customs,weather",customs,Andes Cargo,8320,39.9,container,SAM231,ship
SHP10092,12 Market St,Boston,MA,02108,USA,20 Boylston Ave,Boston,MA,02116,USA,2023-09-17,,2023-09-18,,false,0,,,East Coast Express,3.3,0.04,parcel,RT222,van
SHP10093,120 Oxford St,London,England,W1D1LT,UK,10 Place Bellecour,Lyon,Auvergne-Rhône-Alpes,69002,France,2023-08-31,2023-09-01,2023-09-07,2023-09-09,true,2,"weather,staffing",staffing,EuroWay Transport,310,1.08,pallet,EU331,rail
SHP10094,4 West St,Johannesburg,Gauteng,2001,South Africa,21 Strand St,Cape Town,Western Cape,8001,South Africa,2023-09-11,2023-09-11,2023-09-13,2023-09-13,false,0,,,Rainbow Transport,172,0.99,pallet,SAF18,truck
SHP10095,45 Rue de Rivoli,Paris,Île-de-France,75001,France,60 Gran Via,Madrid,Madrid,28013,Spain,2023-12-06,2023-12-07,2023-12-13,2023-12-13,false,0,,,Iberia Freight,0.01,0.0001,document,EU221,air
SHP10096,81 Sheikh Zayed Rd,Dubai,Dubai,00000,UAE,55 Corniche Rd,Abu Dhabi,Abu Dhabi,00000,UAE,2023-12-16,,2023-12-18,,false,0,,,Emirates Freightways,0.03,0.0005,document,UAE71,air
SHP10097,17 Main St,Cape Town,Western Cape,8001,South Africa,99 Sandton Dr,Johannesburg,Gauteng,2001,South Africa,2023-10-22,,2023-10-25,,false,0,,,Rainbow Transport,0.02,0.0002,document,SAF09,van
SHP10098,542 Avenida Paulista,Sao Paulo,SP,01310-100,Brazil,19 Calle Prado,Havana,La Habana,10100,Cuba,2023-11-22,2023-11-23,2023-11-29,2023-12-04,true,5,"customs,weather",weather,Caribbean Freight,6100,29.2,container,SAM412,ship
SHP10099,22 Main St,Auckland,Auckland,1010,New Zealand,11 Collins St,Melbourne,VIC,3000,Australia,2023-12-12,2023-12-13,2023-12-19,2023-12-22,true,3,"weather,traffic",weather,DownUnder Logistics,420,1.5,pallet,AUNZ6,ship
SHP10100,9 Market St,San Francisco,CA,94104,USA,12 3rd Ave,San Mateo,CA,94401,USA,2023-11-15,,2023-11-16,,false,0,,,Bay Area Couriers,2.6,0.03,parcel,RT312,van
SHP03001,1275 Westwood Blvd,Los Angeles,CA,90024,USA,341 Cedar Avenue,Phoenix,AZ,85004,USA,2023-05-10,2023-05-11,2023-05-13,2023-05-13,false,0,,,Sunshine Express,24.53,0.15,parcel,RT301,truck
SHP03002,10 Rue de la Paix,Paris,Île-de-France,75002,France,1200 Changi Rd,Singapore,Central,409291,Singapore,2023-04-24,2023-04-25,2023-05-02,2023-05-06,true,4,"customs,weather",customs,EuroWay Global,3450.2,13.7,container,EU287,ship
SHP03003,89 Queen St,Auckland,Auckland,1010,New Zealand,2 Darling Dr,Sydney,NSW,2000,Australia,2023-05-01,2023-05-02,2023-05-06,2023-05-09,true,3,"customs,weather,staffing",weather,ANZ Pacific Cargo,412.78,1.9,pallet,OC101,ship
SHP03004,401 Wellington St,Ottawa,ON,K1A0A9,Canada,1207 Burnaby St,Vancouver,BC,V6E1P8,Canada,2023-06-02,2023-06-03,2023-06-06,2023-06-07,true,1,traffic,traffic,Great North Freight,67.4,0.41,parcel,CA923,truck
SHP03005,91 Oxford St,London,England,W1D2DY,UK,1600 Broadway,New York,NY,10019,USA,2023-05-30,2023-05-31,2023-06-05,2023-06-07,true,2,"customs,weather",customs,TransAtlantic Cargo,5014.1,33.83,container,EU310,ship
SHP03006,1343 Lakeview Dr,Dallas,TX,75204,USA,89 Mission Rd,San Antonio,TX,78205,USA,2023-04-15,2023-04-15,2023-04-17,2023-04-17,false,0,,,Texas Star Express,38.19,0.19,parcel,RT302,truck
SHP03007,21 Raffles Ave,Singapore,Central,039803,Singapore,456 Jalan Bukit,Kuala Lumpur,Wilayah Persekutuan,50480,Malaysia,2023-07-02,2023-07-02,2023-07-04,2023-07-05,true,1,"customs,staffing",staffing,ASEAN FastFreight,92.5,0.49,parcel,AS284,van
SHP03008,18 Temple Rd,Bangkok,Bangkok,10200,Thailand,129 Victoria St,Melbourne,VIC,3000,Australia,2023-06-15,2023-06-15,2023-06-23,2023-06-29,true,6,"customs,weather",weather,IndoPacific Carriers,1093.7,7.4,container,AS314,ship
SHP03009,91 Seaview Blvd,Cape Town,Western Cape,8001,South Africa,11 Market St,Johannesburg,Gauteng,2000,South Africa,2023-03-03,2023-03-04,2023-03-07,2023-03-07,false,0,,,Rainbow Logistics,234.18,1.01,pallet,AF111,truck
SHP03010,231 Main Rd,Zurich,Zurich,8001,Switzerland,56 Leopoldstrasse,Munich,Bavaria,80333,Germany,2023-05-09,2023-05-10,2023-05-13,2023-05-15,true,2,"staffing,traffic",staffing,Alpine Rail Transport,181.3,0.78,pallet,EU402,rail
SHP03011,44 Pleasant St,Boston,MA,02114,USA,3020 Spruce St,Philadelphia,PA,19104,USA,2023-03-17,2023-03-17,2023-03-19,2023-03-19,false,0,,,Atlantic Delivery,13.7,0.07,parcel,RT303,truck
